Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2017,5616259.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2017,2107550.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2017,41594296.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2017,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2017,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2017,31900266.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2017,4058303.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2017,1619472.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2017,7307441.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2017,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2017,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2017,116936.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2017,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2017,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2017,79668.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2017,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2017,3975716.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2018,75200.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2018,79889.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2018,469144.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2018,34484697.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2018,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2018,4014559.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2018,7703514.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2018,19081077.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2018,17632781.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2018,1517546.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2018,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2018,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2018,294072.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2018,0.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2018,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2018,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2018,16479.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2018,6378863.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2018,139455.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2018,2214709.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2018,50277595.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2018,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2019,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2019,72561.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2019,85801.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2019,37068618.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2019,859266.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2019,73893.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2019,18276284.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2019,22032710.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2019,52877699.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2019,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2019,102385.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2019,451046.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2019,4277734.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2019,9575.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2019,8689719.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2019,141126.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2019,1138914.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2019,2419668.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2019,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2019,1623254.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2019,137322.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2019,7283146.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2020,626018.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2020,46526.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2020,51309636.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2020,1477518.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2020,294902.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2020,6932376.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2020,952146.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2020,321520.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2020,8813.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2020,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2020,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2020,3412380.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2020,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2020,5037.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2020,18037327.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2020,179780.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2020,27507.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2020,32734659.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2020,41577.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2020,20319385.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2020,1322732.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2020,8216316.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2021,599102.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2021,32767.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2021,5988.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2021,8183508.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2021,29044524.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2021,145303.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2021,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2021,4789453.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2021,33004.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2021,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2021,1002538.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2021,1530684.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2021,4231.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2021,334309.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2021,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2021,38422261.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2021,9856524.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2021,60748437.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2021,84432.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2021,216185.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2021,16832856.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2021,1799855.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2022,62699.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2022,53566.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2022,7057588.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2022,12676744.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2022,167181.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2022,24194067.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2022,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2022,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2022,11089597.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2022,2897785.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2022,16522.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2022,3347.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2022,45349922.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2022,2186240.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2022,233435.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2022,41635013.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2022,134468.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2022,10613.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2022,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2022,423904.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2022,1191783.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2022,78995744.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2023,96429321.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2023,12433926.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2023,6191114.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2023,3370208.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2023,1211120.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2023,14009341.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2023,53831575.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2023,1833599.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2023,105946.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2023,2384057.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2023,4986.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2023,575274.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2023,25463.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2023,10316.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2023,0.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2023,35239463.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2023,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2023,215679.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2023,50734447.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2023,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2023,308227.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2023,3676.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,2024,551965.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,2024,30407420.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,2024,29786459.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,2024,88383283.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,2024,56718967.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,2024,11094373.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,2024,227399.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,2024,13117773.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,2024,1466442.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,2024,5195.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,2024,5906914.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,2024,3538627.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,2024,7463.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,2024,2391.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),2024,2803376.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,2024,855.727505
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,2024,6119.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,2024,64517.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,2024,288042.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,2024,1931661.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,2024,2340401.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,2024,124748.0
